title,first_author,year,journal,sources,id
"High spatial variability of coral, sponges and gorgonian assemblages in a well preserved reef.",González-Díaz,2010,Revista de biologia tropical,PubMed,PMID:20527463
Bacterial acquisition in juveniles of several broadcast spawning coral species.,Sharp,2010,PloS one,PubMed,PMID:20526374
Characterization of a group of MITEs with unusual features from two coral genomes.,Wang,2010,PloS one,PubMed,PMID:20502527
"Effects of temperature, nutrients, organic matter and coral mucus on the survival of the coral pathogen, Serratia marcescens PDL100.",Looney,2010,Environmental microbiology,PubMed+WoS,PMID:20406294
How microbial community composition regulates coral disease development.,Mao-Jones,2010,PLoS biology,PubMed,PMID:20361023
Development and heat stress-induced transcriptomic changes during embryogenesis of the scleractinian coral Acropora palmata.,Portune,2010,Marine genomics,PubMed,PMID:21798197
"Human sewage identified as likely source of white pox disease of the threatened Caribbean elkhorn coral, Acropora palmata.",Sutherland,2010,Environmental microbiology,PubMed+WoS,PMID:20132278
Catabolite regulation of enzymatic activities in a white pox pathogen and commensal bacteria during growth on mucus polymers from the coral Acropora palmata.,Krediet,2009,Diseases of aquatic organisms,PubMed,PMID:20095241
"Elevated temperature affects development, survivorship, and settlement of the elkhorn coral, Acropora palmata (Lamarck 1816).",Randall,2009,The Biological bulletin,PubMed+WoS,PMID:20040751
Restoration of coral populations in light of genetic diversity estimates.,Shearer,2009,Coral reefs (Online),PubMed+WoS,PMID:22833700
Utilization of mucus from the coral Acropora palmata by the pathogen Serratia marcescens and by environmental and coral commensal bacteria.,Krediet,2009,Applied and environmental microbiology,PubMed,PMID:19395569
The host transcriptome remains unaltered during the establishment of coral-algal symbioses.,Voolstra,2009,Molecular ecology,PubMed+WoS,PMID:19317843
"Microsatellite loci isolated from the scleractinian coral, Acropora nobilis.",Isomura,2008,Molecular ecology resources,PubMed+WoS,PMID:21585840
"Coral life history and symbiosis: functional genomic resources for two reef building Caribbean corals, Acropora palmata and Montastraea faveolata.",Schwarz,2008,BMC genomics,PubMed,PMID:18298846
Global warming and coral reefs: modelling the effect of temperature on Acropora palmata colony growth.,Crabbe,2007,Computational biology and chemistry,PubMed+WoS,PMID:17631417
Restricted gene flow in the Caribbean staghorn coral Acropora cervicornis: implications for the recovery of endangered reefs.,Vollmer,2007,The Journal of heredity,PubMed,PMID:17158464
Bacterial community structure associated with white band disease in the elkhorn coral Acropora palmata determined using culture-independent 16S rRNA techniques.,Pantos,2006,Diseases of aquatic organisms,PubMed,PMID:16703769
"Regionally isolated populations of an imperiled Caribbean coral, Acropora palmata.",Baums,2005,Molecular ecology,PubMed+WoS,PMID:15813778
Physical and mechanical properties evaluation of Acropora palmata coralline species for bone substitution applications.,Alvarez,2002,Journal of materials science. Materials in medicine,PubMed,PMID:15348605
"The etiology of white pox, a lethal disease of the Caribbean elkhorn coral, Acropora palmata.",Patterson,2002,Proceedings of the National Academy of Sciences of the United States of America,PubMed+WoS,PMID:12077296
"[Coral reefs of Bocas del Toro, Panamá: IV. Distribution, structure and conservation state of continental reefs of Peninsula Valiente].",Guzmán,2001,Revista de biologia tropical,PubMed,PMID:11795170
Necrotic patches affect Acropora palmata (Scleractinia: Acroporidae) in the Mexican Caribbean.,Rodríguez-Martínez,2001,Diseases of aquatic organisms,PubMed,PMID:11804422
"Fragmentation in the branching coral Acropora palmata (Lamarck): growth, survivorship, and reproduction of colonies and fragments.",Lirman,2000,Journal of experimental marine biology and ecology,PubMed,PMID:10958900
Effects of microhabitat characteristics on the settlement and recruitment of a coral reef fish at two spatial scales.,Tolimieri,1995,Oecologia,PubMed,PMID:28306807
"Calicoblastic neoplasms in Acropora palmata, with a review of reports on anomalies of growth and form in corals.",Peters,1986,Journal of the National Cancer Institute,PubMed,PMID:2871213
Survival of hurricane-generated coral fragments and a disturbance model of reef calcification/growth rates.,Highsmith,1980,Oecologia,PubMed,PMID:28310039
"Zonation of uplifted pleistocene coral reefs on barbados, west indies.",Mesolella,1967,"Science (New York, N.Y.)",PubMed,PMID:17837159
"Distribution and abundance of elkhorn coral, Acropora palmata, and prevalence of White-Band disease at Buck Island Reef National Monument, St. Croix, US Virgin Islands",Mayor,2006,CORAL REEFS,WoS,WOS:000237292800015
Noah's Ark for the threatened Elkhorn coral Acropora palmata,Petersen,2008,CORAL REEFS,WoS,WOS:000258085900035
The Elkhorn Coral Acropora palmata is coming back to the Belize barriel Reef,Macintyre,2007,CORAL REEFS,WoS,WOS:000251579300003
"High densities of the elkhorn coral Acropora palmata in Cayo de Agua, Archipelago Los Roques National Park, Venezuela",Zubillaga,2005,CORAL REEFS,WoS,WOS:000227742400013
"Assessment of Elkhorn Coral Populations and Associated Herbivores in Akumal, Mexico",Mudge,2019,FRONTIERS IN MARINE SCIENCE,WoS,WOS:000495730800001
White Syndromes of Western Atlantic Reef-Building Corals,Bruckner,2016,,WoS,WOS:000385235100024
"White pox disease of the Caribbean Elkhorn coral, Acropora palmata",Sutherland,2004,,WoS,WOS:000222374300016
Diseases of scleractinian corals,Bourne,2022,,WoS,WOS:000841851900005
"Serratia marcescens associated ampullary system infection and septicaemia in a bonnethead shark, Sphyrna tiburo (L.)",Camus,2013,JOURNAL OF FISH DISEASES,WoS,WOS:000324918400009
Archetypal 'elkhorn' coral discovered in the Pacific Ocean,Richards,2010,SYSTEMATICS AND BIODIVERSITY,WoS,WOS:000279221600010
Predicted disappearance of coral-reef ramparts: a direct result of major ecological disturbances,Williams,1999,GLOBAL CHANGE BIOLOGY,WoS,WOS:000085051700001
"Impacts of fragment genotype, habitat, and size on outplanted elkhorn coral success under thermal stress",Pausch,2018,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000428818700007
"Bleaching, disease and recovery in the threatened scleractinian coral Acropora palmata in St. John, US Virgin Islands: 2003-2010",Rogers,2003,CORAL REEFS,WoS,WOS:000307287400022
Differential Effects of Substrate Type and Genet on Growth of Microfragments of Acropora palmata,Papke,2021,FRONTIERS IN MARINE SCIENCE,WoS,WOS:000644402000001
Storm-mediated coral colonization by an excavating Caribbean sponge,López-Victoria,2004,CLIMATE RESEARCH,WoS,WOS:000223393700007
"Early signs of recovery of Acropora palmata in St. John, US Virgin Islands",Muller,2014,MARINE BIOLOGY,WoS,WOS:000330617800010
"Population status of Acropora palmata (Lamarck, 1816) in Cuban coral reefs",Caballero-Aragón,2020,REGIONAL STUDIES IN MARINE SCIENCE,WoS,WOS:000519571000040
"Acute heat stress and the extirpation of a threatened coral species from a remote, subtropical reef system",Thompson,2025,CORAL REEFS,WoS,WOS:001466189800001
Settlement induction of Acropora palmata planulae by a GLW-amide neuropeptide,Erwin,2010,CORAL REEFS,WoS,WOS:000283940700014
Climate flickers and range shifts of reef corals,Precht,2004,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,WoS,WOS:000223960900016
Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,Williams,2014,CORAL REEFS,WoS,WOS:000340395300005
Modes of coral disease transmission: how do diseases spread between individuals and among populations?,Shore,2019,MARINE BIOLOGY,WoS,WOS:000459811900002
Host-related Morphological Variation of Dwellings Inhabited by the Crab Domecia acanthophora in the Corals Acropora palmata and Millepora complanata (Southern Caribbean),Hoeksema,2020,DIVERSITY-BASEL,WoS,WOS:000533906300003
"Bleaching increases likelihood of disease on Acropora palmata (Lamarck) in Hawksnest Bay, St John, US Virgin Islands",Muller,2008,CORAL REEFS,WoS,WOS:000252767200025
Coral culture - Possible future trends and directions,Arvedlund,2001,,WoS,WOS:000186430700016
Sr/Ca-Sea surface temperature calibration in the branching Caribbean coral Acropora palmata - art. no. L03606,Gallup,2006,GEOPHYSICAL RESEARCH LETTERS,WoS,WOS:000235156900005
"Cryptobiota associated to dead Acropora palmata (Scleractinia: Acroporidae) coral, Isla Grande, Colombian Caribbean",Moreno-Forero,1998,REVISTA DE BIOLOGIA TROPICAL,WoS,WOS:000078824100007
Coral reef diseases in the wider Caribbean,Weil,2004,,WoS,WOS:000222374300002
FIRST RECORDS FOR SPAWNING OF CARIBBEAN ACROPORA SPECIES IN COLOMBIAN MPAs,Hudson,2020,GULF AND CARIBBEAN RESEARCH,WoS,WOS:000616939200009
Differential larval settlement responses of Porites astreoides and Acropora palmata in the presence of the green alga Halimeda opuntia,Olsen,2016,CORAL REEFS,WoS,WOS:000376244600015
"CO2 enrichment and reduced seawater pH had no effect on the embryonic development of Acropora palmata (Anthozoa, Scleractinia).",Medina-Rosas,2013,INVERTEBRATE REPRODUCTION & DEVELOPMENT,WoS,WOS:000319715200007
Coral Reef Diseases in the Atlantic-Caribbean,Weil,2011,,WoS,WOS:000285982500027
Tropical and Sub-Tropical Coral Reefs,Wilkinson,2017,,WoS,WOS:000425033100053
History of Coral Disease Research,Bruckner,2016,,WoS,WOS:000385235100007
Post-settlement survivorship in two Caribbean broadcasting corals,Miller,2014,CORAL REEFS,WoS,WOS:000344628500017
Location-Specific Responses to Thermal Stress in Larvae of the Reef-Building Coral Montastraea faveolata,Polato,2010,PLOS ONE,WoS,WOS:000279135400010
Current status of coral takeover by an encrusting excavating sponge in a Caribbean reef,Marulanda-Gómez,2017,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,WoS,WOS:000394580200006
"Lesion regeneration in the branching coral Acropora palmata:: effects of colonization, colony size, lesion size, and lesion shape",Lirman,2000,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000087620800015
Storm-induced coral rubble deposition: Pleistocene records of natural reef disturbance and community response.,Perry,2001,CORAL REEFS,WoS,WOS:000171263100012
Mendelian microsatellite loci for the Caribbean coral Acropora palmata,Baums,2005,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000228394400010
"Post-hurricane initial recovery of Acropora palmata in two reefs of the Yucatan Peninsula, Mexico",Jordan-Dahlgren,1998,BULLETIN OF MARINE SCIENCE,WoS,WOS:000077247600018
A simulation model of the population dynamics of the branching coral Acropora palmata -: Effects of storm intensity and frequency,Lirman,2003,ECOLOGICAL MODELLING,WoS,WOS:000181657400003
BARIUM VARIATION IN ACROPORA-PALMATA AND MONTASTREA-ANNULARIS,PINGITORE,1989,CORAL REEFS,WoS,WOS:A1989AB56000005
Clonal structure and variable fertilization success in Florida Keys broadcast-spawning corals,Miller,2018,CORAL REEFS,WoS,WOS:000423830500023
Storm-generated coral fragments - A viable source of transplants for reef rehabilitation,Garrison,2008,BIOLOGICAL CONSERVATION,WoS,WOS:000261574900017
The effect of pruning Acropora palmata as a strategy for obtaining living tissue for reef restoration actions,Souza,2023,REVISTA DE BIOLOGIA TROPICAL,WoS,WOS:000991842900018
Bacterial assemblages associated with Acropora palmata affected by white band disease in the Mexican region of the Caribbean and Gulf of Mexico,Hernandez-Zulueta,2022,JOURNAL OF SEA RESEARCH,WoS,WOS:000810943200003
Discernment of sexual recruits is not critical for assessing population recovery of Acropora palmata,Grober-Dunsmore,2007,MARINE ECOLOGY PROGRESS SERIES,WoS,WOS:000246486800021
"An Update of Knowledge of the Bacterial Assemblages Associated with the Mexican Caribbean Corals Acropora palmata, Orbicella faveolata, and Porites porites",Hernández-Zulueta,2023,DIVERSITY-BASEL,WoS,WOS:001079802100001
PLEISTOCENE PERSPECTIVES ON CORAL-REEF COMMUNITY STRUCTURE,JACKSON,1992,AMERICAN ZOOLOGIST,WoS,WOS:A1992KV05500010
Hurricanes cause population expansion of the branching coral Acropora palmata (Scleractinia): Wound healing and growth patterns of asexual recruits,Fong,1995,MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,WoS,WOS:A1995UQ80400004
Interaction between the thinly encrusting sponge Clathria venosa and the branched coral Acropora palmata,Pineda-Munive,2022,AQUATIC ECOLOGY,WoS,WOS:000865885900001
Larval longevity and competency patterns of Caribbean reef-building corals,Miller,2020,PEERJ,WoS,WOS:000558591500010
"Comment on ""Younger Dryas sea level and meltwater pulse 1B recorded in Barbados reefal crest coral Acropora palmata"" by N. A. Abdul et al. Reply",Mortlock,2016,PALEOCEANOGRAPHY,WoS,WOS:000393173000007
Coral larvae settle at a higher frequency on red surfaces,Mason,2011,CORAL REEFS,WoS,WOS:000293536600015
"OBSERVATIONS ON ZOOXANTHELLAE EXPULSION AT MIDDLE SAMBO REEF, FLORIDA KEYS",JAAP,1979,BULLETIN OF MARINE SCIENCE,WoS,WOS:A1979HJ47300013
Evaluation of Substrate Properties for Settlement of Caribbean Staghorn Coral Acropora cervicornis Larvae in a Land-Based System,Patterson,2016,NORTH AMERICAN JOURNAL OF AQUACULTURE,WoS,WOS:000385632600008
CHEMISTRY OF COELENTERATES - STEROL COMPOSITION OF SOME PREDATOR-PREY PAIRS ON CORAL REEFS,STEUDLER,1977,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,WoS,WOS:A1977DB57500008
"Holocene reef building on eastern St. Croix, US Virgin Islands: Lang Bank revisited",Hubbard,2013,CORAL REEFS,WoS,WOS:000322874500006
"Changes in coral reef communities among the Florida Keys, 1996-2003",Somerfield,1996,CORAL REEFS,WoS,WOS:000260616400026
Geographic distances and ocean currents influence Caribbean Acropora palmata population connectivity in the Lesser Antilles,Japaud,2019,CONSERVATION GENETICS,WoS,WOS:000467689100004
"Phototrophic microendoliths bloom during coral ""white syndrome""",Fine,2006,CORAL REEFS,WoS,WOS:000242058400011
"Growth and survival of unattached Madracis mirabilis fragments transplanted to different reef sites, and the implication for reef rehabilitation",Nagelkerken,2000,BULLETIN OF MARINE SCIENCE,WoS,WOS:000085998300016
Modeling water surface reflectance signatures and in-water irradiance profiles in shallow tropical waters influenced by bottom reflectance,Bostater,1997,,WoS,WOS:A1997BJ48Y00259
White Band Disease (type I) of Endangered Caribbean Acroporid Corals is Caused by Pathogenic Bacteria,Kline,2011,SCIENTIFIC REPORTS,WoS,WOS:000296046200007
Host population genetic structure and zooxanthellae diversity of two reef-building coral species along the Florida Reef Tract and wider Caribbean,Baums,2010,CORAL REEFS,WoS,WOS:000283940700002
Lesion recovery of two scleractinian corals under low pH conditions: Implications for restoration efforts,Hall,2015,MARINE POLLUTION BULLETIN,WoS,WOS:000366771400048
Population dynamics and genotypic richness of threatened Acropora species and their hybrid in the US Virgin Islands,Nylander-Asplin,2021,CORAL REEFS,WoS,WOS:000642066600001
EFFECTS OF CHRONIC OIL POLLUTION ON A CARIBBEAN CORAL-REEF,BAK,1987,MARINE POLLUTION BULLETIN,WoS,WOS:A1987K887700006
"Does reef crest zone selection influence Acropora palmata (Lamarck, 1816) fragment survival and growth?",Romero,2025,PEERJ,WoS,WOS:001626828100001
"Probabilistic investigation of global mean sea level during MIS 5a based on observations from Cave Hill, Barbados",Tawil-Morsink,2022,QUATERNARY SCIENCE REVIEWS,WoS,WOS:000886090700004
